timestamp,node_id,cpu_usage_percent,memory_usage_percent,network_latency_ms,disk_io_mbps,error_rate,avg_response_time_ms,pod_restarts,cpu_throttling_percent,failure
2025-02-21 22:47:27.719359,node-1,68.13,71.3,31.4,37.62,0.2438,135.3,1.0,44.55,0
2025-02-21 23:02:27.719359,node-9,15.32,49.84,20.26,37.78,0.3094,66.34,1.0,7.2,0
2025-02-21 23:17:27.719359,node-5,25.64,46.27,2.0,63.91,0.054,120.15,1.0997681107888535,48.65,0
2025-02-21 23:32:27.719359,node-6,79.48,100.0,86.72,83.78,0.4463,270.81,9.0,45.86,1
2025-02-21 23:47:27.719359,node-5,78.78,79.66,26.86,39.82,0.0834,108.11,1.0,24.63,0
2025-02-22 00:02:27.719359,node-6,73.65,82.37,62.86,37.88,0.2757,97.44,6.0,49.32,0
2025-02-22 00:17:27.719359,node-1,63.21,64.56,13.3,21.72,0.0,80.33,1.0,25.75,0
2025-02-22 00:32:27.719359,node-8,55.93,12.5,10.29,62.83,0.4417,269.8,2.0,24.95,0
2025-02-22 00:47:27.719359,node-8,64.1,37.11,35.96,31.46,0.1197,104.35,1.0,0.07,0
2025-02-22 01:02:27.719359,node-6,39.83,70.03,39.57,56.02,0.2224,75.05,2.0,39.3,0
2025-02-22 01:17:27.719359,node-5,35.13,27.3,33.82,5.0,0.0237,10.0,1.0,40.97,0
2025-02-22 01:32:27.719359,node-5,54.53,73.85,45.58,6.44,0.196,50.83,2.0,18.72,0
2025-02-22 01:47:27.719359,node-3,88.76,54.55,86.0,54.58,0.0576,94.11,0.0,0.0,0
2025-02-22 02:02:27.719359,node-10,42.37,42.95,2.41,20.75,0.2521,30.55,2.1876837977083627,49.16,0
2025-02-22 02:17:27.719359,node-9,30.49,88.0,15.79,63.97,0.0,10.0,3.3053763288757327,17.92,0
2025-02-22 02:32:27.719359,node-6,78.03,66.41,78.17,100.0,0.2313,242.6,2.0,44.13,1
2025-02-22 02:47:27.719359,node-5,50.21,71.93,29.97,38.03,0.2514,106.27,2.0,51.81,0
