timestamp,node_id,cpu_pct,memory_pct,network_latency_ms,disk_io_mbps,error_rate,avg_response_time_ms,pod_restarts,cpu_throttling,failure
2023-01-01 00:00:00,node1,32.5,45.7,5.2,25.3,0.01,10.5,0,5.2,0
2023-01-01 00:05:00,node1,35.7,48.2,5.5,24.1,0.02,12.3,0,6.1,0
2023-01-01 00:10:00,node1,42.3,52.1,7.1,30.5,0.01,15.6,0,7.2,0
2023-01-01 00:15:00,node1,38.4,50.3,6.3,28.7,0.00,14.2,0,5.5,0
2023-01-01 00:00:00,node2,45.6,55.7,8.2,35.3,0.03,20.5,0,8.2,0
2023-01-01 00:05:00,node2,52.7,62.2,9.5,42.1,0.04,22.3,0,10.1,0
2023-01-01 00:10:00,node2,58.3,68.1,12.1,45.5,0.05,25.6,1,12.2,0
2023-01-01 00:15:00,node2,65.4,75.3,15.3,52.7,0.08,29.2,1,15.5,0
2023-01-01 00:00:00,node3,75.6,82.7,18.2,65.3,0.15,35.5,2,25.2,0
2023-01-01 00:05:00,node3,82.7,88.2,20.5,72.1,0.25,42.3,2,30.1,0
2023-01-01 00:10:00,node3,88.3,92.1,25.1,78.5,0.35,55.6,3,35.2,0
2023-01-01 00:15:00,node3,95.4,97.3,30.3,85.7,0.48,65.2,4,42.5,1
2023-01-01 00:00:00,node4,42.5,55.7,7.2,28.3,0.02,15.5,0,7.2,0
2023-01-01 00:05:00,node4,45.7,58.2,8.5,30.1,0.03,18.3,0,8.1,0
2023-01-01 00:10:00,node4,48.3,62.1,9.1,32.5,0.02,20.6,0,9.2,0
2023-01-01 00:15:00,node4,52.4,65.3,10.3,35.7,0.02,22.2,0,10.5,0
2023-01-01 00:00:00,node5,62.5,72.7,12.2,45.3,0.05,25.5,1,15.2,0
2023-01-01 00:05:00,node5,68.7,78.2,15.5,52.1,0.08,28.3,1,18.1,0
2023-01-01 00:10:00,node5,75.3,85.1,18.1,58.5,0.12,35.6,2,22.2,0
2023-01-01 00:15:00,node5,85.4,92.3,25.3,68.7,0.22,45.2,3,28.5,1
2023-01-01 00:00:00,node6,35.5,48.7,6.2,22.3,0.01,12.5,0,5.2,0
2023-01-01 00:05:00,node6,38.7,52.2,7.5,25.1,0.02,15.3,0,6.1,0
2023-01-01 00:10:00,node6,42.3,55.1,8.1,28.5,0.01,17.6,0,7.2,0
2023-01-01 00:15:00,node6,45.4,58.3,9.3,30.7,0.01,19.2,0,8.5,0
2023-01-01 00:00:00,node7,55.5,65.7,10.2,38.3,0.03,22.5,0,12.2,0
2023-01-01 00:05:00,node7,62.7,72.2,12.5,42.1,0.05,25.3,1,15.1,0
2023-01-01 00:10:00,node7,68.3,78.1,15.1,48.5,0.08,28.6,1,18.2,0
2023-01-01 00:15:00,node7,75.4,85.3,18.3,55.7,0.12,32.2,2,22.5,0
2023-01-01 00:00:00,node8,78.5,85.7,20.2,62.3,0.18,38.5,2,28.2,0
2023-01-01 00:05:00,node8,85.7,92.2,25.5,72.1,0.28,45.3,3,35.1,0
2023-01-01 00:10:00,node8,92.3,97.1,30.1,82.5,0.45,55.6,4,42.2,1
2023-01-01 00:15:00,node8,96.4,99.3,35.3,90.7,0.58,68.2,5,48.5,1 
